"pdbid","ligand","dataset","SMILES","Cluster"
"1O9M","ligand","2013","[C@@H]1(O[C@H](O[C@H]2[C@@H]([C@H]([C@H](NC(=O)[C@H](O)CCN)C[C@@H]2N)OCCNCCCCN)O)[C@H](N)[C@@H](O)[C@@H]1O)CN","Row6"
"1O9M","ligand","2016","[C@@H]1(O[C@H](O[C@H]2[C@@H]([C@H]([C@H](NC(=O)[C@H](O)CCN)C[C@@H]2N)OCCNCCCCN)O)[C@H](N)[C@@H](O)[C@@H]1O)CN","Row6"
"1PBR","ligand","testing","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@H](O[C@H]3O[C@H]([C@H]([C@@H]([C@H]3N)O)O)CN)[C@H](O2)CO)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"1TOB","ligand","testing","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O[C@H]1[C@@H](C[C@@H]([C@@H](O[C@@H]2[C@@H](C[C@@H]([C@@H](CN)O2)O)N)[C@@H]1O)N)N","Row6"
"1YRJ","AM2","2013","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"1YRJ","AM2","2016","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"1ZZ5","CNY","2016","[C@@H]12O[C@@H]3[C@H](C[C@@H](N)[C@@H]([C@H]3O[C@H]3[C@H](O)[C@H](O[C@@H]4[C@H](N)[C@@H](O)[C@H](O)[C@@H](O4)CN)[C@H](O3)CN[C@@H]1[C@@H](O)[C@H](O)[C@H](O2)CN)O)N","Row6"
"2A04","NMY","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2A04","NMY","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2BE0","JS5","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@@H]2O[C@@H]([C@H]([C@H]2OCCNC[C@@H]2CNCCC2)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2BEE","JS4","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](OCCNCCCN)[C@@H]([C@H](O2)CO)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2ESI","KAN","2013","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O","Row6"
"2ESI","KAN","2016","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O","Row6"
"2ESJ","LIV","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO","Row6"
"2ESJ","LIV","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO","Row6"
"2ET3","LLL","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@@](O)(CO2)C)N)[C@H](N)CC[C@H](O1)CN","Row6"
"2ET3","LLL","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@@](O)(CO2)C)N)[C@H](N)CC[C@H](O1)CN","Row6"
"2ET4","NMY","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2ET4","NMY","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2ET5","RIO","2013","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"2ET5","RIO","2016","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"2ET8","XXX","testing","O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N","Row6"
"2F4S","XXX","2013","O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N","Row6"
"2F4S","XXX","2016","O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N","Row6"
